
[11:25:22 4993 INF] Running "Day 12: Rain Risk. Part One."
[11:25:22 5375 INF] 	After 5 instruction the awnser is 25.
[11:25:22 5431 INF] 	After 773 instruction the awnser is 904.

[11:25:22 5435 INF] Running "Day 12: Rain Risk. Part Two."
[11:25:22 5446 VRB] 	Ship (EastWest 100, NorthSouth 10). Waypoint (EastWest 10, NorthSouth 1)
[11:25:22 5446 VRB] 	Ship (EastWest 100, NorthSouth 10). Waypoint (EastWest 10, NorthSouth 4)
[11:25:22 5446 VRB] 	Ship (EastWest 170, NorthSouth 38). Waypoint (EastWest 10, NorthSouth 4)
[11:25:22 5448 VRB] 	Ship (EastWest 170, NorthSouth 38). Waypoint (EastWest 4, NorthSouth -10)
[11:25:22 5448 VRB] 	Ship (EastWest 214, NorthSouth -72). Waypoint (EastWest 4, NorthSouth -10)
[11:25:22 5448 INF] 	After 5 instruction the awnser is 286.
[11:25:22 5518 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest 10, NorthSouth 2)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest 10, NorthSouth -2)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -10, NorthSouth 2)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -15, NorthSouth 2)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -15, NorthSouth -3)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -13, NorthSouth -3)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -13, NorthSouth 0)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -13, NorthSouth 5)
[11:25:22 5519 VRB] 	Ship (EastWest 0, NorthSouth 0). Waypoint (EastWest -8, NorthSouth 5)
[11:25:22 5519 VRB] 	Ship (EastWest -200, NorthSouth 125). Waypoint (EastWest -8, NorthSouth 5)
[11:25:22 5519 VRB] 	Ship (EastWest -200, NorthSouth 125). Waypoint (EastWest -8, NorthSouth 0)
[11:25:22 5519 VRB] 	Ship (EastWest -904, NorthSouth 125). Waypoint (EastWest -8, NorthSouth 0)
[11:25:22 5519 VRB] 	Ship (EastWest -904, NorthSouth 125). Waypoint (EastWest 0, NorthSouth -8)
[11:25:22 5519 VRB] 	Ship (EastWest -904, NorthSouth 61). Waypoint (EastWest 0, NorthSouth -8)
[11:25:22 5519 VRB] 	Ship (EastWest -904, NorthSouth 61). Waypoint (EastWest -8, NorthSouth 0)
[11:25:22 5520 VRB] 	Ship (EastWest -904, NorthSouth 61). Waypoint (EastWest -6, NorthSouth 0)
[11:25:22 5520 VRB] 	Ship (EastWest -904, NorthSouth 61). Waypoint (EastWest 0, NorthSouth -6)
[11:25:22 5520 VRB] 	Ship (EastWest -904, NorthSouth -371). Waypoint (EastWest 0, NorthSouth -6)
[11:25:22 5520 VRB] 	Ship (EastWest -904, NorthSouth -371). Waypoint (EastWest 0, NorthSouth -8)
[11:25:22 5520 VRB] 	Ship (EastWest -904, NorthSouth -371). Waypoint (EastWest 2, NorthSouth -8)
[11:25:22 5520 VRB] 	Ship (EastWest -740, NorthSouth -1027). Waypoint (EastWest 2, NorthSouth -8)
[11:25:22 5520 VRB] 	Ship (EastWest -740, NorthSouth -1027). Waypoint (EastWest 2, NorthSouth -7)
[11:25:22 5520 VRB] 	Ship (EastWest -740, NorthSouth -1027). Waypoint (EastWest -2, NorthSouth -7)
[11:25:22 5520 VRB] 	Ship (EastWest -740, NorthSouth -1027). Waypoint (EastWest -7, NorthSouth 2)
[11:25:22 5520 VRB] 	Ship (EastWest -740, NorthSouth -1027). Waypoint (EastWest -10, NorthSouth 2)
[11:25:22 5520 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest -10, NorthSouth 2)
[11:25:22 5520 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest -2, NorthSouth -10)
[11:25:22 5520 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest 0, NorthSouth -10)
[11:25:22 5520 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest 10, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest 5, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -1030, NorthSouth -969). Waypoint (EastWest 0, NorthSouth 5)
[11:25:22 5521 VRB] 	Ship (EastWest -1030, NorthSouth -559). Waypoint (EastWest 0, NorthSouth 5)
[11:25:22 5521 VRB] 	Ship (EastWest -1030, NorthSouth -559). Waypoint (EastWest 5, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -850, NorthSouth -559). Waypoint (EastWest 5, NorthSouth 0)
